Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port","Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Netherlands,ZAANDAM,"PUNTA ARENAS","2023-11-03 09:00:00","CLWCA --> CL PUQ",,Passenger,"2023-10-31 05:29:38",-41.99039,-73.27068
Bahamas,"MARCO POLO",ALANG,"2021-01-09 13:00:00",ALANG,ALANG,Passenger,"2021-01-14 00:56:58",21.41039,72.20554
Germany,POLARSTERN,"LAS PALMAS","2023-11-03 08:00:00","DEBRV > ESLPA",,"Special Craft","2023-11-03 03:09:57",28.55655,-15.32552
Malta,"MEIN SCHIFF 5",SANTORINI,"2023-11-03 04:15:00",GRJTR,,Passenger,"2023-11-03 03:10:12",36.50397,24.99402
Malta,"CELEBRITY SUMMIT",COZUMEL,-,"MX CZM",,Passenger,"2023-11-03 00:24:28",20.62907,-86.8894
Greece,"BLUE STAR PAROS",SYROS,"2023-11-03 09:35:00",PSTMTSP,PIRAEUS,Passenger,"2023-11-03 03:07:27",37.94785,23.64135
"United Kingdom","PACIFIC ENCOUNTER",BRISBANE,"2023-11-02 20:00:00",BRISBANE,BRISBANE,Passenger,"2023-11-03 03:10:12",-27.38022,153.1588
"United Kingdom","PRINCE OF WALES",,"2023-04-05 06:00:00",181500.00,,"Special Craft","2023-10-10 20:36:23",36.84528,-75.81786
Spain,"OPEN ARMS","SESTRI LEVANTE","2023-10-27 19:30:00",ITNTE,BARCELONA,"Search and Rescue","2023-11-03 03:09:32",41.37193,2.182488
Russia,"GENERAL CHERNYAKHOVSKY",KALININGRAD,"2023-11-02 09:00:00","RU KGD <=> RU ULU",BALTIYSK,Cargo,"2023-11-02 10:41:44",54.63371,19.91667
"United Kingdom","BEN MY CHREE",BELFAST,-,BELFAST,BELFAST,Passenger,"2023-11-03 03:09:38",54.6196,-5.8946
"Marshall Is",MARINA,MYKONOS,"2023-11-03 05:15:00","GR JMK",,Passenger,"2023-11-03 03:10:15",37.659,25.51927
Bahamas,"NORWEGIAN DAWN",VALENCIA,"2023-11-03 05:30:00","VALENCIA, SPAIN",,Passenger,"2023-11-03 03:09:09",39.39816,0.20957
Bahamas,"VISION OF THE SEAS",BALTIMORE,"2023-11-04 00:30:00",BALTIMORE,,Passenger,"2023-11-02 00:21:33",25.84383,-77.0735
Netherlands,OOSTERDAM,MALAGA,"2023-11-03 06:00:00",ESMAL,,Passenger,"2023-11-03 03:09:23",36.58663,-3.912453
Norway,MAUD,"ALTA BAATFORENIN","2023-11-03 14:00:00","NO ALT",,Passenger,"2023-11-03 03:09:59",69.36157,18.09789
Russia,SEDOV,,"2023-10-02 08:00:00",RUKLD,KALININGRAD,"Sailing Vessel","2023-11-03 03:08:35",54.69874,20.45681
"Cayman Is",PELORUS,WEWELSFLETH,"2022-03-16 14:15:00",DEWEW,WEWELSFLETH,"Pleasure Craft","2022-03-30 02:06:22",53.84142,9.40423
Netherlands,"RAINBOW WARRIOR",TACLOBAN,"2023-11-03 08:00:00","PH TAC",,"Sailing Vessel","2023-10-26 16:29:25",-4.71195,125.149
Norway,"OTTO SVERDRUP",HONNINGSVAAG,"2023-11-03 09:00:00","NO HVG",,Passenger,"2023-11-03 03:09:52",70.58699,23.60243
Panama,"CARNIVAL FREEDOM","KINGS WHARF","2023-11-03 09:00:00",ESLPA>BMKWF,,Passenger,"2023-10-29 06:57:20",29.23864,-18.69739
Netherlands,EENDRACHT,LEITH,"2023-10-31 13:30:00",GBLEI,LEITH,"Sailing Vessel","2023-11-03 03:08:20",55.98115,-3.178987
Italy,"COSTA FASCINOSA",MALAGA,"2023-11-03 05:00:00",ESAGP,,Passenger,"2023-11-03 03:09:54",36.47875,-3.513132
USA,RAMBLIN'ROSE,ASTORIA,"2023-02-10 10:00:00",ASTORIA,CATHLAMET,Fishing,"2023-08-31 03:40:33",46.20005,-123.3854
Malta,"ROYAL CLIPPER",BRIDGETOWN,-,"BB BGI",,Passenger,"2023-10-25 02:36:04",32.20743,-18.5777
Bahamas,"CARNIVAL SPIRIT",MOBILE,-,"BS NAS>US MOB",,Passenger,"2023-11-03 00:48:56",25.93488,-77.89986
Russia,BALTIYSK,UST-LUGA,-,"BALT=UST LUGA=BALT",,Cargo,"2023-11-03 01:12:04",59.92837,25.85363
"United Kingdom","HMS DIAMOND",,-,0,PORTSMOUTH,"Special Craft","2023-10-31 01:36:33",50.80958,-1.105467
Bermuda,"ISLAND PRINCESS",GIBRALTAR,"2023-11-03 06:00:00","GI GIB",,Passenger,"2023-11-03 03:09:13",36.13177,-4.857157
USA,"AMERICAN SPIRIT",,"2023-11-02 07:00:00",BUFFINGTON,,Cargo,"2023-11-03 03:09:26",41.643,-87.41326
Korea,"HMM ALGECIRAS",BUSAN,"2023-11-01 15:00:00",KRPUS,"BUSAN NEW PORT",Cargo,"2023-11-03 03:08:11",35.07723,128.7938
Panama,"CARNIVAL MAGIC",MIAMI,-,"DO POP > US MIA",,Passenger,"2023-11-02 22:29:23",20.25392,-71.30597
USA,"INDIANA HARBOR","DULUTH SUPERIOR","2023-11-03 18:00:00","SUPERIOR, WI",,Cargo,"2023-11-03 03:09:59",46.74419,-84.89352
Norway,TROLLFJORD,HAUGESUND,"2023-11-03 06:00:00","NO HAU",,Passenger,"2023-11-03 03:09:42",58.97289,5.33195
USA,"BURNS HARBOR","TWO HARBORS","2023-10-30 12:00:00","TWO HARBORS",,Cargo,"2023-11-03 03:09:01",45.1002,-86.91988
Bahamas,"CRYSTAL SERENITY","ROAD TOWN",-,TORTOLA,,Passenger,"2023-11-03 01:03:19",26.00445,-79.62875
Bermuda,"SKY PRINCESS","LAS PALMAS","2023-11-03 08:00:00","ES LPA",,Passenger,"2023-11-03 03:08:35",29.44942,-15.25312
Panama,"MSC OSCAR",YARIMCA,"2023-11-03 02:00:00",YARIMKA,,Cargo,"2023-11-03 03:05:39",40.74732,29.56539
USA,"USS RONALD REAGAN CVN-76",,"1900-01-01 00:00:00",,,"Special Craft","2022-05-08 02:03:39",35.29008,139.7391
Netherlands,"AGE OF UNION","WALVIS BAY","2023-09-08 08:00:00","WALVIS BAY","WALVIS BAY","Special Craft","2023-09-06 15:45:27",-22.94449,14.50087
Malta,"MARELLA EXPLORER 2",CADIZ,"2023-10-31 12:45:00","ES CAD",CADIZ,Passenger,"2023-11-03 03:08:49",36.52782,-6.279459
Malta,"MSC SEAVIEW",MARSEILLE,"2023-11-03 06:30:00","FR MRS",,Passenger,"2023-11-03 02:30:35",42.33298,4.002335
Italy,"COSTA DIADEMA",VALENCIA,"2023-11-03 05:30:00",ESVLC,,Passenger,"2023-11-03 03:08:51",39.4214,0.302545
USA,"GOLDEN BEAR","PORTLAND OR",-,"US PDX",,"Special Craft","2023-11-03 03:09:15",38.80822,-123.9914
USA,"HON.JAMES L.OBERSTAR",,-,DEARBORN,,Cargo,"2023-11-03 02:36:31",46.78474,-86.00928
Bahamas,"ENCHANTMENT OF THE SEAS",SANTORINI,"2023-11-03 04:00:00","IT MSN> GR JTR",,Passenger,"2023-11-03 03:10:12",36.34164,25.10106
Bahamas,"NORWEGIAN PEARL",MIAMI,-,"MIAMI, FL",,Passenger,"2023-11-02 17:56:59",25.46223,-79.80061
Malta,"MEIN SCHIFF 6","KEY WEST","2023-11-03 10:15:00","US EYW",,Passenger,"2023-11-03 01:29:28",25.19848,-80.07047
Netherlands,"STAD AMSTERDAM",LISBOA,"2023-10-30 15:00:00","PT LIS",LISBOA,Passenger,"2023-10-31 15:48:49",38.70329,-9.157645
Denmark,"KING SEAWAYS",IJMUIDEN,"2023-11-03 10:45:00","GB NSH <-> NL IJM",,Passenger,"2023-11-03 03:08:14",53.24063,1.27912
USA,MERCY,"SAN DIEGO","2023-05-25 14:00:00","US SAN","MAJURO ANCH","Special Craft","2023-10-22 23:19:29",21.06829,-158.3002
Bahamas,"NORWEGIAN BLISS",ENSENADA,-,"ENSENADA, MX","CABO SAN LUCAS ANCH",Passenger,"2023-11-02 01:57:19",25.71676,-113.8796
USA,MEGAN,"CAPE CANAVERAL","2023-09-21 18:00:00","CAPE CANAVERAL","CAPE CANAVERAL","Special Craft","2023-11-03 03:10:09",28.41816,-80.62396
Bahamas,"SAIPEM 7000",STAVANGER,"2023-10-23 11:11:00","NO SVG",MEKJARVIK,"Special Craft","2023-11-03 03:07:37",59.02285,5.621129
"United Kingdom",MANANNAN,DOUGLAS,"2023-10-29 23:00:00",IMDGS,DOUGLAS,"High Speed Craft","2023-11-03 03:08:57",54.14776,-4.47101
USA,MANITOWOC,LUDINGTON,"2023-11-03 07:30:00",LUDINGTON,,Cargo,"2023-11-03 03:09:45",43.33973,-86.69682
Italy,AIDADIVA,PHILIPSBURG,-,"PHILIPSBURG SXPHI",,Passenger,"2023-11-02 01:58:37",36.88885,-28.0192
USA,"JOHN G.MUNSON",CALCITE,"2023-11-03 22:00:00",CALCITE,,Cargo,"2023-11-03 03:10:00",43.35844,-87.69533
Denmark,"PRINCESS SEAWAYS",,"2023-11-03 08:13:00",NCL:IJM,,Passenger,"2023-11-03 03:09:46",52.67492,2.370133
Curacao,"BOKA VANGUARD",INGLESIDE,"2023-10-21 12:00:00",USYIG,"CORPUS CHRISTI ANCH",Cargo,"2023-11-03 03:10:17",27.79766,-96.8615
Germany,INNOVATION,FECAMP,"2023-10-26 14:30:00","FECAMP OWF",,"Special Craft","2023-11-03 03:07:21",49.89047,0.25663
Bahamas,"CARNIVAL LEGEND",,"2023-11-03 11:00:00",BHHMC>BHFRE,,Passenger,"2023-11-02 23:24:13",25.92486,-77.91804
Panama,"EVER ACE",ROTTERDAM,-,"NL RDM > GB FLX","ROTTERDAM MAASVLAKTE",Cargo,"2023-11-03 03:09:37",51.94679,4.045188
Denmark,"MARY MAERSK",ALGECIRAS,-,"EGSUC > ESALR",,Cargo,"2023-11-03 03:09:58",32.72872,29.17692
Greece,"HELLENIC SPIRIT",IGOUMENITSA,-,GRIGO,ANCONA,Passenger,"2023-11-03 03:07:56",43.62048,13.50619
Norway,"OCEAN VIKING",SIRACUSA,"2023-11-03 07:30:00","SIRACUSA, ITALY",,"Special Craft","2023-11-03 03:09:26",38.12193,18.50797
Germany,"UN WARSHIP F222",BERGEN,"1900-01-01 00:00:00",,,"Special Craft","2023-10-30 14:56:19",33.606,34.4933
Italy,"COSTA FORTUNA",BARCELONA,"2023-11-03 07:00:00",ESBCN,,Passenger,"2023-11-03 03:09:55",41.45336,2.672742
Palau,ODIN,ALANG,"2022-06-21 09:58:00",ALANG,ALANG,Passenger,"2022-06-18 13:35:50",21.39529,72.18314
Panama,"CARNIVAL LIBERTY","CAPE CANAVERAL","2023-11-03 09:30:00",BSBIM>USPCV,,Passenger,"2023-11-03 00:34:59",27.5189,-79.69807
Finland,"VIKING GRACE",STOCKHOLM,"2023-11-03 04:30:00",FITKU-FILAN-SESTO,,Passenger,"2023-11-03 03:10:13",59.54107,18.57515
USA,"CAPE CAUTION",,"2014-11-07 02:50:00","FALSE PASS",,"Navigation Aid","2015-10-30 20:50:02",53.91214,-166.5068
Malta,SOLITAIRE,,"2023-11-01 16:30:00","KEEP CLEAR 1NM",,"Special Craft","2023-11-01 03:33:54",27.21833,-91.15
Canada,"HORIZON ARCTIC",ABERDEEN,"2023-10-23 19:00:00",GBABD,ABERDEEN,"Special Craft","2023-11-03 03:08:36",57.1446,-2.077923
Panama,"CARNIVAL VALOR","NEW ORLEANS","2023-11-04 02:30:00","MX PGO > US MSY",,Passenger,"2023-11-02 12:35:27",21.51411,-89.68218
Bahamas,BRAEMAR,ROSYTH,"2022-06-01 11:00:00",ROSYTH,ROSYTH,Passenger,"2022-03-09 18:30:54",56.02235,-3.455978
Bahamas,"NORWEGIAN SUN","SANTA BARBARA","2023-11-03 12:00:00","SANTA BARBARA, CA",,Passenger,"2023-11-03 03:10:19",35.03108,-121.6396
Bahamas,"NORWEGIAN JEWEL",BORACAY,"2023-11-02 23:30:00","PH BOR",,Passenger,"2023-11-02 23:31:14",11.95722,121.8865
"United Kingdom","MAJESTIC PRINCESS",SYDNEY,-,"AU SYD",,Passenger,"2023-11-03 03:07:22",-34.35159,156.8179
Greece,"OLYMPIC CHAMPION",IGOUMENITSA,"2023-11-03 06:00:00",GRIGO,,Passenger,"2023-11-03 03:09:18",40.25608,19.07615
Comoros,COLUMBUS,ALANG,"2022-03-15 06:30:00",ALANG,MUMBAI,Passenger,"2021-11-24 19:18:58",18.94194,72.90054
Bahamas,"NORWEGIAN SPIRIT",KAHULUI,"2023-11-03 14:00:00","KAHULUI,HAWAII",HONOLULU,Passenger,"2023-11-03 03:08:29",21.30207,-157.8654
Netherlands,"WYLDE SWAN",,"2023-10-27 12:00:00","POR LIS",LISBOA,"Sailing Vessel","2023-11-03 03:07:25",38.70323,-9.159365
Panama,"CARNIVAL GLORY","GEORGE TOWN","2023-11-02 11:30:00","JM,MBJ>KY GEC",,Passenger,"2023-11-02 13:09:30",19.41187,-81.76483
Italy,"AMERIGO VESPUCCI","RIO DE JANEIRO","2023-10-22 11:00:00","BR RIO",CARTAGENA,"Sailing Vessel","2023-09-10 19:35:23",10.40864,-75.53939
France,ARMORIQUE,ROSCOFF,"2023-11-01 09:30:00","FR ROS",,Passenger,"2023-11-03 01:21:03",51.19383,-7.385
Portugal,"VASCO DA GAMA","CAPE TOWN","2023-11-02 03:30:00","ZA CPT","CAPE TOWN",Passenger,"2023-11-03 03:08:17",-33.91107,18.42767
Norway,SOERLANDET,FUNCHAL,-,"PT FNC",,"Special Craft","2023-11-02 00:44:24",36.31087,-7.673742
Malta,"AZAMARA JOURNEY",AQABA,"2023-11-03 02:30:00","EG SGA > JO AQJ",,Passenger,"2023-11-03 01:50:43",29.37667,34.92333
Bahamas,"MARDI GRAS","CAPE CANAVERAL",-,"TC GDT>US PCV",,Passenger,"2023-11-03 01:53:25",22.79235,-72.41727
Panama,"CARNIVAL SPLENDOR",HOBART,-,"AU HBA -AU SYD",HOBART,Passenger,"2023-11-03 03:07:55",-42.88251,147.3408
"United Kingdom","BRITISH AUXILIARY","PORTLAND UK","1900-01-01 00:00:00",,,"Special Craft","2023-10-25 09:34:54",34.50266,33.16337
Norway,POLARLYS,KIRKENES,-,"NO KKN",,Passenger,"2023-11-03 03:09:45",63.24373,8.021149
Bermuda,"MY SOLARIS",GOCEK,"2023-05-08 08:30:00","GOECEK, TURKEY",GOCEK,"Pleasure Craft","2023-05-08 10:10:14",36.75292,28.92802
Bahamas,"CARNIVAL SUNRISE",MIAMI,-,"KY GEC>US MIA",,Passenger,"2023-11-02 22:28:14",19.4257,-81.87159
"Hong Kong","OOCL HONG KONG",GDANSK,-,BEZEE>PLGDN,,Cargo,"2023-11-03 03:04:27",55.91589,6.585568
Bahamas,MEDITERRANEA,,"2023-11-02 21:00:00",JPNMX1E,NAGASAKI,Passenger,"2023-11-03 03:08:42",32.73577,129.8663
Netherlands,EUROPA,JAMESTOWN,"2023-10-15 11:30:00","SANTA HELENA",,"Sailing Vessel","2023-10-15 20:15:21",-15.92349,-6.574702
Norway,"KONG HARALD",BERGEN,-,"NO BGO",,Passenger,"2023-11-03 03:09:46",69.23988,17.96644
Bahamas,"WIND SURF",CATANIA,"2023-11-03 04:00:00","IT CTA<MT MLA",,Passenger,"2023-11-02 22:13:38",36.81283,15.33724
