Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Liberia,"SEAWAYS LOOKOUT","NEW YORK","2023-10-23 19:30:00",USNYC,"AMBROSE ANCH",9700342,Tanker,"2023-11-03 02:51:38",40.49799,-73.62132
USA,"SPIRIT OF AMERICA","NEW YORK","2023-09-26 00:00:00","ST GEORGE","NEW YORK",9364423,Passenger,"2023-09-14 14:58:47",40.64203,-74.07281
USA,"KENDALL J HEBERT",,"2023-11-03 06:52:00","XX XXX>US^0LLG",,8975794,Tug,"2023-11-03 02:51:47",40.39051,-73.86696
"Marshall Is",ABTENAUER,"FAIRLESS HILLS","2023-10-29 14:00:00",CABCO>USFAH,"FAIRLESS HILLS",9655212,Cargo,"2023-11-03 02:51:31",40.1398,-74.755
USA,"RED HOOK","NEW YORK","2023-11-03 09:13:00","NYC SLUDGE DOCK","NEW YORK",9501916,"Special Craft","2023-11-03 02:49:18",40.78776,-73.91981
USA,"GENESIS VISION",,"1900-01-01 00:00:00","TREMLEY POINT",,8973916,Tug,"2023-11-03 02:51:47",40.32315,-73.9112
USA,"FDNY BATT","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-11-02 22:44:46",40.70463,-73.9724
USA,"SAMUEL I.NEWHOUSE","NEW YORK","2023-04-27 00:00:00","ST GEORGE","NEW YORK",7702774,Passenger,"2023-11-03 02:51:44",40.6435,-74.0715
USA,"PAUL ANDREW",,"1900-01-01 00:00:00","NY HARBOR","NEW YORK",0,Tug,"2023-11-03 02:48:53",40.68647,-74.07788
USA,"FORT SCHUYLER","NEW YORK","1900-01-01 00:00:00","NEW YORK","NEW YORK",9781334,Tug,"2023-11-03 02:50:54",40.66994,-74.08264
USA,"GUY V.MOLINARI","NEW YORK","2023-10-09 00:00:00","ST GEORGE","NEW YORK",9333486,Passenger,"2023-11-03 02:51:41",40.64492,-74.07263
USA,"FORT MCHENRY",,"1900-01-01 00:00:00",US^0RUY>0XXG,"NEW YORK",9804681,Tug,"2023-11-03 02:49:37",40.64649,-74.04808
USA,"LIZ VINIK","NEW YORK","2023-07-04 14:00:00","NEW YORK","NEW YORK",5107918,Tug,"2023-11-03 02:49:35",40.56017,-74.22998
USA,"JUSTINE MCALLITER","NEW YORK","2023-10-25 18:00:00","NEW YORK,NY","NEW YORK",8107878,Tug,"2023-11-03 02:49:59",40.64124,-74.16397
USA,"DISCOVERY COAST",,"1900-01-01 00:00:00",US^0XWS>0Y22,"NEW YORK",9655406,Tug,"2023-11-03 02:51:51",40.64665,-74.09637
USA,PINUCCIA,,"2023-10-28 00:01:00","NY HARBOR","PERTH AMBOY",8852722,Tug,"2023-11-03 02:48:24",40.53166,-74.25243
"Marshall Is","SFL TRINITY",BAYBAY,"2023-11-02 12:00:00","BAYWAY,USA","AMBROSE ANCH",9799862,Tanker,"2023-11-03 02:49:46",40.49041,-73.5761
USA,"MARTHAS VINEYARD EX",BELFORD,"1900-01-01 00:00:00",,BELFORD,0,"High Speed Craft","2023-11-01 23:33:40",40.43328,-74.07907
USA,"KIMBERLY TURECAMO","NEW YORK","1900-01-01 00:00:00","NEW YORK,NY","NEW YORK",7914573,Tug,"2023-11-03 02:51:46",40.64112,-74.12964
USA,"RANA MILLER",MILLER,"2023-08-31 02:00:00","MILLERS LAUNCH NY","NEW YORK",9184079,"Special Craft","2023-11-03 02:46:32",40.63446,-74.07014
USA,"JAY MICHAEL","QUINCY IL",-,QUINCY,"NEW YORK",0,Tug,"2023-11-03 02:48:18",40.63875,-74.15597
"Marshall Is","SEA GULL","NEW YORK","2023-11-02 08:00:00","OFF NEW YORK TSS",,9692624,"Special Craft","2023-11-03 02:51:00",40.14303,-73.79203
USA,"HMS JUSTICE",,"1900-01-01 00:00:00","XX XXX>US^0RUY","NEW YORK",0,Tug,"2023-11-03 02:50:23",40.64869,-74.09572
USA,"CHARLES A","NEW YORK","2023-10-22 06:00:00",NYC,,8424202,Tug,"2023-11-03 02:43:03",41.03318,-73.40875
USA,COMMODORE,"ATLANTIC HIGHLANDS","2023-05-05 00:00:00","ATLANTIC HIGHLANDS","SANDY HOOK BAY",9842243,Passenger,"2023-11-03 02:49:17",40.40904,-73.99575
USA,"GO ADVENTURER",BROOKLYN,"2023-10-24 11:00:00","GMD BROOKLYN NY","NEW YORK",9643087,"Special Craft","2023-11-03 02:50:24",40.70247,-73.97343
USA,ANDREA,"NEW YORK","2023-04-21 18:00:00","NEW YORK","NEW YORK",8966717,"Special Craft","2023-11-03 02:51:24",40.64533,-74.12199
"Marshall Is","EXCELSIOR BAY","NEW YORK","2023-10-30 08:00:00",USNYC,"AMBROSE ANCH",9697612,Tanker,"2023-11-03 02:49:28",40.50345,-73.58433
Panama,"BALSA 87","FREE PORT",-,"FREE PORT","AMBROSE ANCH",9616022,Cargo,"2023-11-03 02:51:12",40.50036,-73.49369
USA,"CAPE HENRY","NEW YORK","2023-10-01 20:30:00","US NYC","NEW YORK",9865439,Tug,"2023-11-03 02:50:33",40.70087,-73.97027
USA,"RUBY M",,"2022-04-09 18:00:00","HARBOR WORK","NEW YORK",6804484,Tug,"2022-11-19 20:20:47",40.66499,-74.01611
USA,"STEPHEN DANN",,"1900-01-01 00:00:00",US^108N>0HV5,"NEW YORK",9202376,Tug,"2023-11-03 02:49:32",40.6887,-74.15916
USA,"GOLDEN EAGLE",BELMAR,"2023-10-31 20:06:00",,BELMAR,0,Unspecified,"2023-10-31 17:28:46",40.18178,-74.02925
USA,"FDNY M3","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-10-27 13:18:57",40.7052,-73.9734
USA,"MATTHEW TIBBETTS","NEW YORK","2023-10-21 12:00:00","NEW YORK","NEW YORK",8986949,Tug,"2023-11-03 02:49:34",40.61167,-74.205
USA,PHILADELPHIA,,-,US^0XJF>0Y3Q,"NEW YORK",9819428,Tug,"2023-11-03 02:49:09",40.66659,-74.00652
USA,"MARCELLE BORDELON",,-,SURVEYCPA1NM,,9350379,"Special Craft","2023-11-03 02:52:12",40.13923,-73.56464
USA,GAMBLER,"KEN'S LANDING","2023-11-03 13:05:00",,"KEN'S LANDING",0,Fishing,"2023-11-02 19:14:05",40.10247,-74.03833
USA,"CRYSTAL CUTLER","PERTH AMBOY","2023-11-03 10:06:00",,"NEW YORK",0,Tug,"2023-11-02 23:33:29",40.59085,-74.20624
Liberia,"AL RUWAIS","NEW YORK","2023-10-31 01:00:00","NEW YORK","NEW YORK",9828405,Tanker,"2023-11-03 02:48:17",40.64868,-74.11156
USA,"FDNY M1A","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-11-03 02:49:26",40.74055,-74.01175
USA,"MARGARET MORAN","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",7908158,Tug,"2023-11-03 02:50:42",40.69781,-74.1503
USA,"ALEX MCALLISTER","NEW YORK","2023-10-24 23:59:00","NEW YORK","NEW YORK",8601159,Tug,"2023-11-03 02:51:36",40.66261,-74.15678
USA,"ROWAN M MCALLISTER","NEW YORK","2023-10-17 11:00:00","NEW YORK, NY","EARLE NAVAL STATION",8023606,Tug,"2023-11-03 02:52:09",40.4524,-74.04917
USA,"CAPE LOOKOUT",,"2023-09-24 01:00:00","NY NYC","NEW YORK",9857353,Tug,"2023-11-03 02:51:11",40.70015,-73.96938
USA,"PORT RICHMOND","NEW YORK","1900-01-01 00:00:00","NYC DEP SLUDGE DOCK","NEW YORK",9648051,"Special Craft","2023-11-03 02:48:24",40.70171,-73.96945
USA,"FDNY FB FEEHAN","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-11-03 02:52:05",40.70481,-73.97279
"Marshall Is","GENCO ENTERPRISE","NEW YORK","2023-10-31 14:30:00","US ORF > US NYC","NEW YORK",9707699,Cargo,"2023-11-03 02:50:21",40.68605,-74.13839
USA,WESTERLY,,,"No data (CLASS B transponder)","NEW YORK",0,"Special Craft","2023-11-02 22:08:33",40.71139,-74.04807
USA,"BAYOU DAWN","NEW YORK","2023-08-26 12:30:00",USJEC>USUNA,,8955794,Tug,"2023-11-03 02:49:04",40.4896,-74.15154
USA,QUENAMES,,"2023-08-13 20:30:00","NY HARBOR","PERTH AMBOY",0,Tug,"2023-11-03 02:49:25",40.5315,-74.25238
USA,BROOKLYN,"NEW YORK","1900-01-01 00:00:00",US^0HS3>0XYR,"NEW YORK",9265718,Tug,"2023-11-03 02:50:28",40.65513,-74.04068
USA,"PILOT NEW JERSEY",,"1900-01-01 00:00:00",SWH,"NEW YORK",8515154,"Special Craft","2023-11-03 02:50:01",40.61784,-74.06464
USA,"ELLEN MCALLISTER",,"1900-01-01 00:00:00","XX XXX>US^0LJW","NEW YORK",8980892,Tug,"2023-11-03 02:50:46",40.64091,-74.16372
USA,MILLENNIUM,"NEW YORK","2023-09-17 17:30:00","NYC,NY","TOTTENVILLE (STATEN)",8994051,"High Speed Craft","2023-11-02 17:05:15",40.51684,-74.24652
USA,"ATLANTIC SURVEYOR","POINT PLEASANT","2023-10-12 19:15:00","POINT PLEASANT","KEN'S LANDING",0,Passenger,"2023-11-03 02:49:41",40.10263,-74.04335
USA,"JOSEPHINE K MILLER","STATEN ISLAND","2023-11-01 17:00:00","STATEN ISLAND NY","NEW YORK",9568835,"Special Craft","2023-11-03 02:51:48",40.63465,-74.07037
USA,JOSEPHINE,SAVANNAH,"2023-10-30 01:30:00","US SAV","NEW YORK",9862762,Tug,"2023-11-03 02:50:08",40.60691,-74.2057
USA,LUNCHBOX,"NEW YORK","1900-01-01 00:00:00","NEW YORK","NEW YORK",0,Passenger,"2023-11-03 02:34:28",40.70335,-73.9765
USA,"SEN.JOHN J.MARCHI","NEW YORK","2023-09-20 00:00:00","ST GEORGE","NEW YORK",9364411,Passenger,"2023-11-03 02:50:25",40.64225,-74.07142
USA,"KRISTY ANN","NEW YORK","2023-09-13 19:00:00",USNYC,"NEW YORK",9862774,Tug,"2023-09-16 23:59:15",40.64072,-74.12894
USA,"SAGINAW RIVER","ATLANTIC CITY","1900-01-01 00:00:00","ATLANTIC CITY, NEW J","NEW YORK",0,"Special Craft","2023-11-02 17:34:59",40.63898,-74.15092
USA,"DORTHY J",,"2023-06-23 03:30:00",UNKNOWN,"NEW YORK",0,Tug,"2023-10-12 05:13:18",40.70474,-73.97256
Panama,"NORDIC CALLAO","NEW YORK","2023-11-02 08:00:00","US NYC","NEW YORK",9796822,Tanker,"2023-11-03 02:27:27",40.58435,-74.20945
USA,"NORTHERN K",,,"No data (CLASS B transponder)","KEN'S LANDING",8616984,Fishing,"2023-11-03 02:49:22",40.10269,-74.0432
USA,PARAMOUNT,BRIELLE,,"No data (CLASS B transponder)",,0,Fishing,"2023-11-02 11:16:55",40.08431,-73.93063
USA,"MIRIAM MORAN",,-,"NY HARBOR","NEW YORK",7908146,Tug,"2023-10-18 16:31:46",40.64169,-74.11931
USA,"ANDREW J.BARBERI","NEW YORK",-,"ST GEORGE","NEW YORK",7702762,Passenger,"2023-10-23 14:36:27",40.64201,-74.07288
USA,"LAURA K MORAN","NEW YORK",-,NYC,"NEW YORK",9415765,Tug,"2023-11-03 02:51:57",40.69843,-74.15237
USA,CHARLESTON,"NEW YORK","2023-11-02 15:30:00","US NYC","NEW YORK",9881213,Tug,"2023-11-03 02:51:22",40.65446,-74.08459
USA,"SEA FOX",,-,"NY NY","NEW YORK",7129465,Tug,"2023-11-03 02:51:47",40.68612,-74.07745
USA,"KIRBY MORAN","NEW YORK",-,"NEW YORK","NEW YORK",9778349,Tug,"2023-11-03 02:51:53",40.64145,-74.12959
USA,"JASON REINAUER",,-,"US NY","NEW YORK",7437056,Tug,"2023-11-03 02:51:07",40.55623,-74.2244
USA,"SUSAN ROSE",,"1900-01-01 00:00:00","XX XXX>US^0QAW","NEW YORK",9840805,Tug,"2023-11-03 02:51:26",40.64573,-74.15562
USA,"JANICE ANN REINAUER","NEW YORK","2023-11-02 13:00:00",NYC,,9903932,Tug,"2023-11-03 02:47:58",40.81414,-73.97377
Denmark,"MAERSK CRETE","NEW YORK","2023-11-02 15:00:00",USNYC,"NEW YORK",9786190,Tanker,"2023-11-03 02:49:59",40.64641,-74.04803
USA,THUNDER,,"1900-01-01 00:00:00",US^0Q66>0XYC,"NEW YORK",0,"Special Craft","2023-11-03 02:52:10",40.64931,-74.11017
USA,"JONATHAN C.MORAN","NEW YORK","2023-07-04 12:00:00",,"NEW YORK",9799288,Tug,"2023-11-03 02:52:11",40.64085,-74.12979
USA,"JRT MORAN","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",9794707,Tug,"2023-11-03 02:51:01",40.64061,-74.12971
USA,"SEA DART II",,"2023-10-21 19:00:00","US LDJ","NEW YORK",0,Other,"2023-10-21 18:02:32",40.60425,-74.21555
USA,"NEW YORK","NEW YORK","1900-01-01 00:00:00","NEW YORK","NEW YORK",7437068,"Special Craft","2023-08-25 14:51:41",40.68908,-74.13306
USA,"PAULA ATWELL",,"2023-11-01 00:00:00",NYHARBOR,"NEW YORK",9202364,Tug,"2023-11-03 02:44:03",40.66914,-73.99877
USA,"FDNY M9B",WHITEHALL,"1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-11-03 02:50:18",40.62948,-74.07175
USA,"ALICE WINSLOW","NEW YORK","2023-06-28 15:45:00","NEW YORK DREDGE OPS",,7829340,Tug,"2023-11-03 02:50:49",40.49997,-74.13616
USA,"DALE PYATT",BALTIMORE,-,"BALTIMORE MD",,0,"Special Craft","2023-11-03 02:48:01",40.50688,-74.20383
USA,R.B.WEEKS,,"2023-11-03 05:22:00","RARITAN BAY","AMBROSE ANCH",9910985,"Special Craft","2023-11-03 02:51:22",40.44125,-73.93556
USA,"JAMES D MORAN","NEW YORK","1900-01-01 00:00:00","NEW YORK NJ HBR","NEW YORK",9786499,Tug,"2023-11-03 02:50:38",40.64127,-74.12985
USA,CG,,"1900-01-01 00:00:00",,"NEW YORK",0,"Special Craft","2023-11-02 17:04:39",40.67271,-74.08997
USA,"CAPTAIN D",,"1900-01-01 00:00:00",US^0YXR>0LJC,"NEW YORK",8424587,Tug,"2023-11-03 02:51:57",40.73425,-73.96725
USA,"JOHN A NOBLE","NEW YORK",-,"ST GEORGE","NEW YORK",8643054,Passenger,"2023-11-02 10:03:09",40.64122,-74.07277
USA,ROCKAWAY,"NEW YORK","2023-11-01 12:37:00",,,9648063,"Special Craft","2023-11-03 02:48:23",40.80206,-73.8849
USA,"HUNTS POINT","NEW YORK",-,"NYC SLUDGE DOCK","NEW YORK",9648049,"Special Craft","2023-11-03 02:51:12",40.73557,-73.94683
USA,"EMMA ROSE","STATEN ISLAND","2023-11-03 05:30:00","KMI STATEN ISLAND",,8635459,Tug,"2023-11-03 02:52:15",40.56379,-73.92896
USA,"FDNY M4","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-10-27 12:14:11",40.70521,-73.97344
USA,"CHARLES D MCALLISTER","NEW YORK",-,"NEW YORK HARBOR","EARLE NAVAL STATION",6801418,Tug,"2023-11-03 02:49:52",40.45232,-74.04922
USA,COURAGEOUS,,"1900-01-01 00:00:00","XX XXX>US^0XLX","ATLANTIC HIGHLANDS",9891555,Passenger,"2023-11-03 02:51:03",40.41908,-74.03429
USA,"WILLIAM & LAUREN",,,"No data (CLASS B transponder)","KEN'S LANDING",7948433,Fishing,"2023-10-05 13:56:19",40.10141,-74.03768
USA,"JERSEY PRIDE",,,"No data (CLASS B transponder)","KEN'S LANDING",8983519,Fishing,"2023-11-03 02:50:52",40.10237,-74.04262
USA,"CAPE CANAVERAL","NEW YORK","2023-10-29 15:30:00","US NYC","NEW YORK",9877602,Tug,"2023-11-03 02:51:40",40.55829,-74.21911
USA,"PILOT NEW YORK",,-,SWH,"AMBROSE ANCH",9005833,Tug,"2023-11-03 02:52:13",40.46203,-73.8407
USA,"NORTH RIVER","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",7366324,"Special Craft","2023-11-03 02:50:13",40.78687,-73.92068
USA,DAUNTLESS,"KEN'S LANDING","1900-01-01 00:00:00",,"KEN'S LANDING",0,Passenger,"2023-11-02 11:27:19",40.10089,-74.03767
USA,"FDNY M6B",NORFOLK,"1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-10-24 16:38:07",40.70523,-73.9734
Singapore,"WAN HAI A09","NEW YORK","2023-11-02 20:00:00",USNYC,"NEW YORK",9555113,Cargo,"2023-11-03 02:49:24",40.66097,-74.14738
USA,"DELAWARE BAY",,"1900-01-01 00:00:00",,"NEW YORK",0,"Special Craft","2023-11-02 19:59:08",40.69193,-74.13824
USA,"MARIE J.TURECAMO",,-,"NY NY","NEW YORK",7337880,Tug,"2023-11-03 02:50:36",40.64046,-74.12936
USA,"ABRAHAM LINCOLN",,"1900-01-01 00:00:00",,"NEW YORK",0,Passenger,"2023-11-03 02:00:27",40.77111,-74.01157
USA,"J ARNOLD WITTE","NEW YORK",-,"NEWARK, NJ","NEW YORK",0,Tug,"2023-11-03 02:49:02",40.66285,-74.13791
USA,"CAPTAIN BRIAN A.MCALLISTER","NEW YORK","2023-08-05 18:00:00","NY NEW YORK","NEW YORK",9813632,Tug,"2023-11-03 02:49:16",40.6411,-74.16399
USA,"EVENING TIDE","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",7435759,Tug,"2021-09-29 23:23:49",40.68815,-74.00699
USA,MUSHIN,,,"No data (CLASS B transponder)",,0,"Pleasure Craft","2023-10-30 18:09:56",40.07453,-74.03544
USA,"STEPHEN B","NEW YORK","2023-09-16 23:59:00","NEW YORK HARBOR","TOTTENVILLE (STATEN)",0,Tug,"2023-11-03 02:43:14",40.51714,-74.24644
USA,"STARSTREAM VIII",,"1900-01-01 00:00:00","ALANTIC OCEAN",,0,Passenger,"2023-10-31 16:53:23",40.57393,-73.6209
USA,"JP BOISSEAU","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,"Special Craft","2023-11-02 19:11:01",40.69071,-74.13729
Vanuatu,"IRON SALVOR","NEW YORK","2023-10-14 15:00:00",USNYC,"TOTTENVILLE (STATEN)",9334648,Tug,"2023-09-27 13:41:53",40.51787,-74.24711
Malta,"EBN HAWKEL",BAYBAY,"2023-10-31 08:12:00","BAYWAY NJ","AMBROSE ANCH",9874507,Tanker,"2023-11-03 02:51:35",40.48482,-73.61026
USA,"SPIRIT OF NEW YORK","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,Passenger,"2023-11-02 01:32:57",40.75758,-74.01816
USA,"ALICE AUSTEN",WHITEHALL,"2023-08-10 00:00:00",WHITEHALL,"NEW YORK",8643028,Passenger,"2023-11-03 02:52:09",40.64312,-74.07129
USA,WINDQUEST,,,"No data (CLASS B transponder)",,0,"Sailing Vessel","2023-09-02 10:13:50",41.01517,-73.53684
USA,"MIKAYLA ALEXA",,,"No data (CLASS B transponder)","KEN'S LANDING",0,Fishing,"2023-11-03 02:52:04",40.10219,-74.03907
USA,"CAPE FEAR","NEW YORK",-,"XX XXX>US^0XYR","NEW YORK",9914307,Tug,"2023-11-03 02:51:43",40.67171,-74.04771
USA,"URBAN JOURNEY","NEW YORK","1900-01-01 00:00:00","NEW YORK CITY","NEW YORK",0,Passenger,"2023-11-03 02:24:09",40.70427,-73.97667
USA,"CAPE HATTERAS","NEW YORK","1900-01-01 00:00:00","XX XXX>US^0RNR",,9877597,Tug,"2023-11-03 02:52:11",40.49415,-74.25551
USA,"CG HAMMERHEAD","WOODS HOLE","1900-01-01 00:00:00",,,0,"Special Craft","2023-08-20 13:32:30",40.47567,-73.77547
USA,"CAPTAIN DAVE III","NEW YORK","1900-01-01 00:00:00",,"NEW YORK",0,Passenger,"2023-11-03 02:51:00",40.58335,-73.94362
USA,"CMT PIKE",,"1900-01-01 00:00:00",US^0XVG>0XPB,"NEW YORK",0,"Special Craft","2023-11-03 02:49:00",40.63922,-74.14639
USA,"LUCY REINAUER","NEW YORK","1900-01-01 00:00:00",USNYC,"NEW YORK",7304003,Tug,"2020-11-11 01:34:56",40.64022,-74.12825
USA,"BERING DAWN","ATLANTIC CITY",-,"ATLANTIC. CITY","NEW YORK",0,Tug,"2023-11-03 02:51:00",40.68675,-74.07827
USA,"FDNY M6A",BAYONNE,"1900-01-01 00:00:00",,"NEW YORK",0,"Search and Rescue","2023-11-03 02:50:30",40.70471,-73.97258
USA,FISHERMEN,"AMBROSE ANCH","1900-01-01 00:00:00",,,0,Fishing,"2023-10-17 15:29:55",40.53307,-74.09617
USA,"MELISSA K","MANASQUAN INLET",,"No data (CLASS B transponder)","KEN'S LANDING",7802562,"Special Craft","2023-11-03 02:51:37",40.10242,-74.04486
Liberia,"NAVIG8 GAUNTLET","NEW YORK","2023-11-01 07:45:00","US NYC","AMBROSE ANCH",9853228,Tanker,"2023-11-03 02:49:23",40.48275,-73.63008
USA,"ARMY CORPS NYSB 1",,,"No data (CLASS B transponder)","NEW YORK",0,"Special Craft","2023-11-01 14:10:28",40.68627,-74.07355
USA,NORMANDY,"PERTH AMBOY","1900-01-01 00:00:00",,,0,Tug,"2023-11-03 02:49:36",40.5197,-74.24707
